word,definition
recording label,trade name of a company that produces musical recordings
authentication,a mark on an article of trade to indicate its origin and authenticity
revenue stamp,a small piece of adhesive paper that is put on an object to show that a government tax has been paid
white feather,a symbol of cowardice
musical scale,(music) a series of notes differing in pitch according to a specific scheme (usually within an octave)
subdominant,(music) the fourth note of the diatonic scale
leading tone,(music) the seventh note of the diatonic scale
pedal point,a sustained bass note
musical interval,the difference in pitch between two notes
quarter tone,half of a semitone
quarter-tone,half of a semitone
musical octave,a musical interval of eight tones
diatonic scale,a scale with eight notes in an octave; all but two are separated by whole tones
ecclesiastical mode,any of a system of modes used in Gregorian chants up until 1600; derived historically from the Greek mode
Gregorian mode,any of a system of modes used in Gregorian chants up until 1600; derived historically from the Greek mode
church mode,any of a system of modes used in Gregorian chants up until 1600; derived historically from the Greek mode
medieval mode,any of a system of modes used in Gregorian chants up until 1600; derived historically from the Greek mode
major scale,a diatonic scale with notes separated by whole tones except for the 3rd and 4th and 7th and 8th
major diatonic scale,a diatonic scale with notes separated by whole tones except for the 3rd and 4th and 7th and 8th
minor scale,a diatonic scale with notes separated by whole tones except for the 2nd and 3rd and 5th and 6th
minor diatonic scale,a diatonic scale with notes separated by whole tones except for the 2nd and 3rd and 5th and 6th
chromatic scale,a 12-note scale including all the semitones of the octave
gapped scale,a musical scale with fewer than seven notes
pentatonic scale,a gapped scale with five notes; usually the fourth and seventh notes of the diatonic scale are omitted
musical mode,any of various fixed orders of the various diatonic notes within an octave
ledger line,a short line; a notation for extending the range above or below the staff
treble clef,a clef that puts the G above middle C on the second line of a staff
treble staff,a clef that puts the G above middle C on the second line of a staff
soprano clef,a clef that puts middle C on the bottom line of the staff
key signature,the sharps or flats that follow the clef and indicate the key
time signature,a musical notation indicating the number of beats to a measure and kind of note that takes a beat
musical time signature,a musical notation indicating the number of beats to a measure and kind of note that takes a beat
musical note,a notation representing the pitch and duration of a musical sound
C major scale,(music) the major scale having no sharps or flats
scale of C major,(music) the major scale having no sharps or flats
double sharp,a musical notation of two sharps in front of a note indicating that it is to be raised by two semitones
double flat,a musical notation of two flats in front of a note indicating that it is to be lowered by two semitones
solmization,a system of naming the notes of a musical scale by syllables instead of letters
solmisation,a system of naming the notes of a musical scale by syllables instead of letters
tonic solfa,"a system of solmization using the solfa syllables: do, re, mi, fa, sol, la, ti"
solfa syllable,one of the names for notes of a musical scale in solmization
common chord,a three-note major or minor chord; a note and its third and fifth tones
seventh chord,a triad with a seventh added
passing note,a nonharmonic note inserted for transition between harmonic notes
passing tone,a nonharmonic note inserted for transition between harmonic notes
quarter note,a musical note having the time value of a quarter of a whole note
quarter rest,a musical rest having one-fourth the time value of a whole rest
eighth note,a musical note having the time value of an eighth of a whole note
sixteenth note,a musical note having the time value of a sixteenth of a whole note
thirty-second note,a musical note having the time value of a thirty-second of a whole note
demisemiquaver,a musical note having the time value of a thirty-second of a whole note
sixty-fourth note,a musical note having the time value of a sixty-fourth of a whole note
hemidemisemiquaver,a musical note having the time value of a sixty-fourth of a whole note
appoggiatura,an embellishing note usually written in smaller size
acciaccatura,an embellishing note usually written in smaller size
singing voice,the musical quality of the voice while singing
basso profundo,a very deep bass voice
baritone voice,the second lowest adult male singing voice
tenor voice,the adult male singing voice above baritone
countertenor,the highest adult male singing voice
mezzo-soprano,the female singing voice between contralto and soprano
visual communication,communication that relies on vision
visual signal,a signal that involves visual communication
traffic light,a visual signal to control the flow of traffic at intersections
traffic signal,a visual signal to control the flow of traffic at intersections
green light,a signal to proceed
warning light,a cautionary sign of danger
idiot light,a colored warning light on an instrument panel (as for low oil pressure)
yellow light,the signal to proceed with caution
signal flag,a rectangular piece of fabric used as a signalling device
nautical signal flag,one of an international code of flag signals used between ships
sign language,language expressed by visible hand gestures
finger spelling,an alphabet of manual signs
fingerspelling,an alphabet of manual signs
American sign language,the sign language used in the United States
gesticulation,a deliberate and vigorous gesture or motion
body language,communication via the movements or attitudes of the body
facial expression,a gesture executed with the facial muscles
facial gesture,a gesture executed with the facial muscles
straight face,a serious facial expression giving no evidence of interest or amusement
demonstration,a visual presentation showing how something works
eye contact,a meeting of the eyes between two people that expresses meaningful nonverbal communication
manifestation,expression without words
exemplification,showing by example
illustration,showing by example
national flag,an emblem flown as a symbol of nationality
hammer and sickle,the emblem on the flag of the Soviet Union
Star of David,a six-pointed star formed from two equilateral triangles; an emblem symbolizing Judaism
Shield of David,a six-pointed star formed from two equilateral triangles; an emblem symbolizing Judaism
Magen David,a six-pointed star formed from two equilateral triangles; an emblem symbolizing Judaism
Mogen David,a six-pointed star formed from two equilateral triangles; an emblem symbolizing Judaism
Solomon's seal,a six-pointed star formed from two equilateral triangles; an emblem symbolizing Judaism
merit badge,a badge award to Boy Scouts in recognition of special projects
Paschal Lamb,figure of a lamb; emblematic of Christ
spread eagle,an emblem (an eagle with wings and legs spread) on the obverse of the Great Seal of the United States
insignia of rank,an insignia worn on a military uniform
shoulder flash,something worn on the shoulder of a military uniform as an emblem of a division etc.
service stripe,an insignia worn to indicate years of service
identification,evidence of identity; something that identifies a person or thing
positive identification,evidence proving that you are who you say you are; evidence establishing that you are among the group of people already known to the system; recognition by the system leads to acceptance
negative identification,evidence proving that you are not who you say you are not; evidence establishing that you are not among a group of people already known to the system; recognition by the system leads to rejection
facial profiling,identification of criminals and terrorist by means of videotapes of their faces
fingerprint,a generic term for any identifying characteristic
linguistic profiling,using speech characteristics or dialect to identify a speaker's race or religion or social class
personal identification number,a number you choose and use to gain access to various accounts
sneak preview,a preview to test audience reactions
ostentation,a gaudy outward display
exhibitionism,extravagant and conspicuous behavior intended to attract attention to yourself
presentation,the act of making something publicly available; presenting news or other information by broadcasting or printing it
performance,a dramatic or musical entertainment
public presentation,a dramatic or musical entertainment
show-stopper,an act so striking or impressive that the show must be delayed until the audience quiets down
showstopper,an act so striking or impressive that the show must be delayed until the audience quiets down
benefit concert,a concert given for the benefit of some charitable cause
rock concert,a performance of rock music
play reading,performance of a play by a group of readers
song and dance,theatrical performance combining singing and dancing
theatrical performance,a performance of a play
representation,a performance of a play
histrionics,a performance of a play
spectacular,a lavishly produced performance
world premiere,(music) the first public performance (as of a dramatic or musical work) anywhere in the world
artificial language,a language that is deliberately created for a specific purpose
Basic English,a simplified form of English proposed for use as an auxiliary language for international communication; devised by C. K. Ogden and I. A. Richards
Blaia Zimondal,an artificial language proposed by Cesare Meriggi in 1884
Esperantido,an artificial language based on Esperanto and Ido
Idiom Neutral,an artificial language proposed for use as an auxiliary international language; based on Volapuk but with a vocabulary selected on the basis of the maximum internationality of the roots
Interlingua,an artificial language proposed for use as an auxiliary international language; based on words common to English and the Romance languages
Lingualumina,"an artificial language, also known as the language of light"
Lingvo Kosmopolita,an artificial language created by René de Saussure
Nov-Esperanto,an artificial language based on Esperanto
programming language,(computer science) a language designed for programming computers
programing language,(computer science) a language designed for programming computers
algebraic language,an algorithmic language having statements that resemble algebraic expressions
algorithmic language,an artificial language designed to express algorithms
application-oriented language,a language whose statements resemble terminology of the user
problem-oriented language,a language whose statements resemble terminology of the user
assembly language,a low-level programing language; close approximation to machine language
command language,a source language consisting of procedural operators that invoke functions to be executed
query language,a source language consisting of procedural operators that invoke functions to be executed
search language,a source language consisting of procedural operators that invoke functions to be executed
computer language,a programming language designed for use on a specific class of computers
computer-oriented language,a programming language designed for use on a specific class of computers
machine language,a programming language designed for use on a specific class of computers
machine-oriented language,a programming language designed for use on a specific class of computers
high-level language,a problem-oriented language requiring little knowledge of the computer on which it will be run
job-control language,a problem-oriented language used to describe job requirements to an operating system
metalanguage,a language that can be used to describe languages
multidimensional language,a programming language whose expressions are assembled in more than one dimension
object language,a computer language into which something written in another computer language is to be translated
target language,a computer language into which something written in another computer language is to be translated
object-oriented programming language,(computer science) a programming language that enables the programmer to associate a set of procedures with each type of data structure
object-oriented programing language,(computer science) a programming language that enables the programmer to associate a set of procedures with each type of data structure
one-dimensional language,a programming language whose expressions are represented by strings of characters
stratified language,a language that cannot be used as its own metalanguage
syntax language,a language used to describe the syntax of another language
unstratified language,a programming language that (like natural language) can be used as its own metalanguage
list-processing language,a flexible procedure-oriented programing language that manipulates symbols in the form of lists
LISP program,a program written in LISP
logic programing,a computer language designed in Europe to support natural language processing
logic programming,a computer language designed in Europe to support natural language processing
FORTRAN program,a program written in FORTRAN
native language,the language that a person has spoken from earliest childhood
indigenous language,a language that originated in a specified place and was not brought to that place from elsewhere
superstrate,the language of a later invading people that is imposed on an indigenous population and contributes features to their language
superstratum,the language of a later invading people that is imposed on an indigenous population and contributes features to their language
natural language,a human written or spoken language used by a community; opposed to e.g. a computer language
mother tongue,one's native language; the language learned by children and passed from one generation to the next
maternal language,one's native language; the language learned by children and passed from one generation to the next
first language,one's native language; the language learned by children and passed from one generation to the next
tone language,a language in which different tones distinguish different meanings
tonal language,a language in which different tones distinguish different meanings
contour language,a tone language that uses pitch changes
register language,a tone language that uses different voice registers
Haitian Creole,a creole language spoken by most Haitians; based on French and various African languages
Haitian Creole language,a creole language spoken by most Haitians; based on French and various African languages
Chinook Jargon,a pidgin incorporating Chinook and French and English words; formerly used as a lingua franca in northwestern North America
Oregon Jargon,a pidgin incorporating Chinook and French and English words; formerly used as a lingua franca in northwestern North America
Sango language,a trade language widely used in Chad
lingua franca,a common language used by speakers of different languages
interlanguage,a common language used by speakers of different languages
Amerindian language,any of the languages spoken by Amerindians
American-Indian language,any of the languages spoken by Amerindians
American Indian,any of the languages spoken by Amerindians
American Indian language,any of the languages spoken by Amerindians
Indian language,any of the languages spoken by Amerindians
Amerind language,any of the languages spoken by Amerindians
Algonquian language,family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains
Atakapan language,a language spoken by the Atakapa of the Gulf Coast of Louisiana and Texas
Attacapa language,a language spoken by the Atakapa of the Gulf Coast of Louisiana and Texas
Atakapa language,a language spoken by the Atakapa of the Gulf Coast of Louisiana and Texas
Attacapan language,a language spoken by the Atakapa of the Gulf Coast of Louisiana and Texas
Athapaskan language,"a group of Amerindian languages (the name coined by an American anthropologist, Edward Sapir)"
Abnaki language,the Algonquian language spoken by the Abnaki and Penobscot
Algonkian language,the Algonquian language spoken by the Algonkian
Algonkin language,the Algonquian language spoken by the Algonkian
Arapaho language,the Algonquian language spoken by the Arapaho
Arapahoe language,the Algonquian language spoken by the Arapaho
Biloxi language,the Siouan language spoken by the Biloxi
Blackfoot language,any of the Algonquian languages spoken by the Blackfoot
Catawba language,the Siouan language spoken by the Catawba
Cheyenne language,the Algonquian language spoken by the Cheyenne
Chiwere language,the Siouan language spoken by the Iowa and Oto and Missouri
Cree language,the Algonquian language spoken by the Cree
Crow language,a Siouan language spoken by the Crow
Dakota language,the Siouan language spoken by the Dakota
Delaware language,the Algonquian language spoken by the Delaware
Fox language,the Algonquian language of the Fox
Hidatsa language,a Siouan language spoken by the Hidatsa
Hunkpapa language,a Siouan language spoken by the Hunkpapa
Illinois language,the Algonquian language of the Illinois and Miami
Haida language,the Na-Dene language of the Haida
Kickapoo language,the Algonquian language of the Kickapoo
Malecite language,the Algonquian language of the Malecite and Passamaquody
Maleseet language,the Algonquian language of the Malecite and Passamaquody
Massachuset,the Algonquian language of the Massachuset
Massachusetts,the Algonquian language of the Massachuset
Massachusetts language,the Algonquian language of the Massachuset
Massachuset language,the Algonquian language of the Massachuset
Menominee language,the Algonquian language spoken by the Menomini
Menomini language,the Algonquian language spoken by the Menomini
Micmac language,the Algonquian language of the Micmac
Mohican language,the Algonquian language spoken by the Mohican
Mahican language,the Algonquian language spoken by the Mohican
Nanticoke language,the Algonquian language spoken by the Nanticoke and Conoy
Ofo language,a Siouan language spoken by the Ofo
Ogalala language,a Siouan language spoken by the Oglala
Oglala language,a Siouan language spoken by the Oglala
Ojibway language,the Algonquian language spoken by the Ojibwa
Ojibwa language,the Algonquian language spoken by the Ojibwa
Chippewa language,the Algonquian language spoken by the Ojibwa
Pamlico language,the Algonquian language of the Pamlico
Potawatomi language,the Algonquian language spoken by the Potawatomi
Powhatan language,the Algonquian language of the Powhatan
Shawnee language,the Algonquian language spoken by the Shawnee
Alabama language,the Muskhogean language of the Alabama
Chickasaw language,the Muskhogean language of the Chickasaw
Chahta language,the Muskhogean language of the Choctaw
Choctaw language,the Muskhogean language of the Choctaw
Hitchiti language,the Muskhogean language spoken by the Hitchiti
Koasati language,the Muskhogean language spoken by the Koasati
Muskogee language,the Muskhogean language spoken by the Muskogee
Santee language,the Siouan language spoken by the Santee
Seminole language,the Muskhogean language of the Seminole
Tlingit language,the Na-Dene language spoken by the Tlingit
Tutelo language,the Siouan language spoken by the Tutelo
Winnebago language,the Siouan language spoken by the Winnebago
Muskhogean language,a family of North American Indian languages spoken in the southeastern United States
Muskogean language,a family of North American Indian languages spoken in the southeastern United States
Chemakum language,a Chemakuan language spoken by the Chemakum
Wakashan language,a family of North American Indian languages of British Columbia and Washington
Kwakiutl language,a Wakashan language spoken by the Kwakiutl
Nootka language,a Wakashan language spoken by the Nootka
Comanche language,the Shoshonean language spoken by the Comanche
Hopi language,the Shoshonean language spoken by the Hopi
Paiute language,the Shoshonean language spoken by the Paiute
Ute language,the Shoshonean language spoken by the Utes
Shoshonean language,a non-standard subfamily of Uto-Aztecan languages spoken mainly in the southwestern United States
Shoshonian language,a non-standard subfamily of Uto-Aztecan languages spoken mainly in the southwestern United States
Caddoan language,a family of North American Indian languages spoken widely in the Midwest by the Caddo
Aricara language,the Caddoan language spoken by the Arikara
Arikara language,the Caddoan language spoken by the Arikara
Pawnee language,the Caddoan language spoken by the Pawnee
Wichita language,the Caddoan language spoken by the Wichita
Cherokee language,the Iroquoian language spoken by the Cherokee
Cayuga language,the Iroquoian language spoken by the Cayuga
Mohawk language,the Iroquoian language spoken by the Mohawk
Seneca language,the Iroquoian language spoken by the Seneca
Oneida language,the Iroquoian language spoken by the Oneida
Onondaga language,the Iroquoian language spoken by the Onondaga
Tuscarora language,the Iroquoian language spoken by the Tuscarora
Iroquoian language,a family of North American Indian languages spoken by the Iroquois
Quechuan language,the language of the Quechua which was spoken by the Incas
Quechua language,the language of the Quechua which was spoken by the Incas
Kechua language,the language of the Quechua which was spoken by the Incas
Kechuan language,the language of the Quechua which was spoken by the Incas
Guarani language,the language spoken by the Guarani of Paraguay and Bolivia
Tupi language,the language spoken by the Tupi of Brazil and Paraguay
Tupi-Guarani,a family of South American Indian languages
Tupi-Guarani language,a family of South American Indian languages
Caribbean language,the family of languages spoken by the Carib
Eskimo-Aleut,the family of languages that includes Eskimo and Aleut
Eskimo-Aleut language,the family of languages that includes Eskimo and Aleut
Eskimo language,the language spoken by the Eskimo
Esquimau language,the language spoken by the Eskimo
Aleut language,the language spoken by the Aleut
Uto-Aztecan,a family of American Indian languages
Uto-Aztecan language,a family of American Indian languages
Pima language,the Uto-Aztecan language spoken by the Pima
Aztecan language,the Uto-Aztecan language spoken by the Aztec
Nahuatl language,the Uto-Aztecan language spoken by the Nahuatl
Cahita language,the Uto-Aztecan language of the Cahita
Tatahumara language,the Uto-Aztecan language of the Tatahumara
Zapotec language,the language of the Zapotec
Zapotecan language,the language of the Zapotec
Mayan language,a family of American Indian languages spoken by Mayas
Apache language,the language of the Apache
Chiricahua Apache,"an Apache language, spoken in New Mexico, Mescalero Reservation, and by some Chiricahua at Fort Sill, Oklahoma"
Chiricahua Apache language,"an Apache language, spoken in New Mexico, Mescalero Reservation, and by some Chiricahua at Fort Sill, Oklahoma"
San Carlos Apache,"an Apache language, spoken in East central Arizona, on several reservations"
San Carlos Apache language,"an Apache language, spoken in East central Arizona, on several reservations"
Navaho language,the Athapaskan language spoken by the Navaho
Navajo language,the Athapaskan language spoken by the Navaho
Hupa language,the Athapaskan language spoken by the Hupa
Mattole language,the Athapaskan language spoken by the Mattole
Chippewaian,the language spoken by the Chipewyan
Chipewyan language,the language spoken by the Chipewyan
Chippewaian language,the language spoken by the Chipewyan
Chippewyan language,the language spoken by the Chipewyan
Siouan language,a family of North American Indian languages spoken by the Sioux
Tanoan language,a family of North American Indian language spoken in southwestern United States
Kiowa language,the Tanoan language spoken by the Kiowa
Chimariko language,the Hokan language spoken by the Chimariko
Esselen language,the Hokan language spoken by the Esselen
Pomo language,the Kulanapan language spoken by the Pomo
Karok language,the Quoratean language of the Karok
Achomawi language,the Shastan language spoken by the Achomawi
Atsugewi language,the Shastan language spoken by the Atsugewi
Shasta language,the Shastan language spoken by the Shasta
Akwa'ala language,the Yuman language spoken by the Akwa'ala
Cochimi language,the Yuman language spoken by the Cochimi
Cocopa language,the Yuman language spoken by the Cocopa
Cocopah language,the Yuman language spoken by the Cocopa
Havasupai language,the Yuman language spoken by the Havasupai
Kamia language,the Yuman language spoken by the Kamia
Diegueno language,the Yuman language spoken by the Kamia
Kiliwi language,the Yuman language spoken by the Kiliwa
Kiliwa language,the Yuman language spoken by the Kiliwa
Maricopa language,the Yuman language spoken by the Maricopa and the Halchidhoma
Mojave language,the Yuman language spoken by the Mohave
Mohave language,the Yuman language spoken by the Mohave
Hualpai language,the Yuman language spoken by the Walapai
Hualapai language,the Yuman language spoken by the Walapai
Walapai language,the Yuman language spoken by the Walapai
Yavapai language,the Yuman language spoken by the Yavapai
Yuma language,the Yuman language spoken by the Yuma
Yahi language,the dialect of Yana spoken by the Yahi
Yana language,the language spoken by the Yana
Patwin language,a Copehan language spoken by the Patwin
Wintun language,a Copehan language spoken by the Wintun
Costanoan language,a Penutian language spoken by the Costanoan
Yokuts language,a Penutian language spoken by the Yokuts in the San Joaquin Valley
Mariposan language,a Penutian language spoken by the Yokuts in the San Joaquin Valley
Moquelumnan,a Penutian language spoken by the Miwok
Miwok language,a Penutian language spoken by the Miwok
Moquelumnan language,a Penutian language spoken by the Miwok
Pujunan language,a Penutian language spoken by the Maidu
Maidu language,a Penutian language spoken by the Maidu
Chinookan language,a Penutian language spoken by the Chinook
Chinook language,a Penutian language spoken by the Chinook
Kalapuyan language,a Penutian language spoken by the Kalapuya
Kalapooian language,a Penutian language spoken by the Kalapuya
Kusan language,a Penutian language spoken by the Kusan
Sahaptin language,a Penutian language spoken by the Shahaptian
Shahaptian language,a Penutian language spoken by the Shahaptian
Nez Perce language,the Shahaptian language spoken by the Nez Perce
Takelma language,a Penutian language spoken by the Takelma
Takilman language,a Penutian language spoken by the Takelma
Tsimshian language,a Penutian language spoken by the Tsimshian
Kekchi language,a Mayan language spoken by the Kekchi
Mam language,a Mayan language spoken by the Mam
Yucatec language,a Mayan language spoken by the Yucatec
Yucateco language,a Mayan language spoken by the Yucatec
Quiche language,the Mayan language spoken by the Quiche
Cakchiquel language,the Mayan language spoken by the Cakchiquel
Altaic language,a group of related languages spoken in Asia and southeastern Europe
Turko-Tatar,a subfamily of Altaic languages
Turkic language,a subfamily of Altaic languages
Turkish language,a Turkic language spoken by the Turks
Turkmen language,the Turkic language spoken by the Turkoman
Turcoman language,the Turkic language spoken by the Turkoman
Turkoman language,the Turkic language spoken by the Turkoman
Azerbaijani,the Turkic language spoken by the Azerbaijani
Azerbaijani language,the Turkic language spoken by the Azerbaijani
Kazakh language,the Turkic language spoken by the Kazak
Kazak language,the Turkic language spoken by the Kazak
Tatar language,the Turkic language spoken by the Tatar living from the Volga to the Ural Mountains
Uzbek language,the Turkic language spoken by the Uzbek
Uzbak language,the Turkic language spoken by the Uzbek
Usbek language,the Turkic language spoken by the Uzbek
Uzbeg language,the Turkic language spoken by the Uzbek
Usbeg language,the Turkic language spoken by the Uzbek
Uighur language,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China"
Uigur language,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China"
Uygur language,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China"
Yakut language,the Turkic language spoken by the Yakut
Kirgiz language,the Turkic language spoken by the Kirghiz
Kirghiz language,the Turkic language spoken by the Kirghiz
Khirghiz language,the Turkic language spoken by the Kirghiz
Karakalpak language,the Turkic language spoken by the Karakalpak
Chuvash language,the Turkic language spoken by the Chuvash
Eastern Turki,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan)
Chagatai language,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan)
Jaghatai language,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan)
Jagatai language,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan)
Eastern Turki language,a Turkic literary language of medieval central Asia (named for one of the sons of Genghis Khan)
Chukchi language,an indigenous and isolated language of unknown origin spoken by the Chukchi that is pronounced differently by men and women
Tungusic language,a family of Altaic languages spoken in Mongolia and neighboring areas
Ewenki language,the Tungusic language of the Evenki in eastern Siberia
Evenki language,the Tungusic language of the Evenki in eastern Siberia
Tungus language,the Tungusic language of the Evenki in eastern Siberia
Tunguz language,the Tungusic language of the Evenki in eastern Siberia
Manchu language,the Tungusic language spoken by the Manchu
Mongolic language,a family of Altaic language spoken in Mongolia
Kalka language,the language of the Khalkha that is the official language of the Mongolian People's Republic
Khalkha language,the language of the Khalkha that is the official language of the Mongolian People's Republic
Khalka language,the language of the Khalkha that is the official language of the Mongolian People's Republic
Korean language,the Altaic language spoken by Koreans
Japanese language,the language (usually considered to be Altaic) spoken by the Japanese
Ryukyuan language,the language (related to Japanese) that is spoken by the people of the Ryukyu Islands
Sinitic language,a group of Sino-Tibetan languages
Mandarin Chinese,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China
Mandarin dialect,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China
Beijing dialect,the dialect of Chinese spoken in Beijing and adopted as the official language for all of China
Shanghai dialect,a dialect of Chinese spoken in the Yangtze delta
Yue dialect,the dialect of Chinese spoken in Canton and neighboring provinces and in Hong Kong and elsewhere outside China
Cantonese dialect,the dialect of Chinese spoken in Canton and neighboring provinces and in Hong Kong and elsewhere outside China
Min dialect,any of the forms of Chinese spoken in Fukien province
Amoy language,any of the forms of Chinese spoken in Fukien province
Fukkianese language,any of the forms of Chinese spoken in Fukien province
Hokkianese language,any of the forms of Chinese spoken in Fukien province
Taiwanese language,any of the forms of Chinese spoken in Fukien province
Fukien language,any of the forms of Chinese spoken in Fukien province
Min language,any of the forms of Chinese spoken in Fukien province
Hakka dialect,a dialect of Chinese spoken in southeastern China by the Hakka
Sino-Tibetan,the family of tonal languages spoken in eastern Asia
Sino-Tibetan language,the family of tonal languages spoken in eastern Asia
Tibeto-Burman,a branch of the Sino-Tibetan family of languages spoken from Tibet to the Malay Peninsula
Tibeto-Burman language,a branch of the Sino-Tibetan family of languages spoken from Tibet to the Malay Peninsula
Qiangic language,the Tibeto-Burman language spoken in Sichuan
Qiang language,the Tibeto-Burman language spoken in Sichuan
Baic language,the Tibeto-Burman language spoken in the Dali region of Yunnan
Bai language,the Tibeto-Burman language spoken in the Dali region of Yunnan
Himalayish language,a non-standard subfamily of the Tibeto-Burman languages including Tibetan and Newari
Kamarupan language,"a non-standard subfamily of the Tibeto-Burman languages including languages spoken in India, Burma and Bangladesh"
Karenic language,the Tibeto-Burman language spoken in the Thailand and Burmese borderlands
Karen language,the Tibeto-Burman language spoken in the Thailand and Burmese borderlands
Lolo-Burmese,the Tibeto-Burman language spoken in northern Burma and Yunnan
Burmese-Yi language,the Tibeto-Burman language spoken in northern Burma and Yunnan
Lolo-Burmese language,the Tibeto-Burman language spoken in northern Burma and Yunnan
Burmese language,the official language of Burma
Loloish language,languages spoken by hill tribes in northern Burma and neighboring areas
Lisu language,"a Loloish language spoken in West Yunnan Province, 11 prefectures, 63 counties, upper reaches of Salween and Mekong rivers, as well as Sichuan Province, southwest Liangshan prefecture"
Hani language,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains"
Akha language,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains"
Lahu language,"a Loloish language spoken in Southwest Yunnan Province, Simao prefecture, Lancang Lahu, Menglian Dai, Lahu, and Va autonomous counties, as well as Lincang prefecture, Gengma Dai, and Va autonomous counties"
Lolo language,"a Loloish language, spoken by the Yi or Lolo people in China, Vietnam and Thailand"
Yi language,"a Loloish language, spoken by the Yi or Lolo people in China, Vietnam and Thailand"
Kachin language,Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India
Kachinic language,Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India
Chingpo language,a Kachinic language
Jinghpaw language,a Kachinic language
Jinghpo language,a Kachinic language
Kuki language,Kamarupan languages spoken in western Burma and Bangladesh and easternmost India
Kuki-Chin language,Kamarupan languages spoken in western Burma and Bangladesh and easternmost India
Chin language,Kamarupan languages spoken in western Burma and Bangladesh and easternmost India
Naga language,Kamarupan languages spoken in northeastern India and western Burma
Barish language,Kamarupan languages spoken in the state of Assam in northeastern India
Bodo-Garo language,Kamarupan languages spoken in the state of Assam in northeastern India
Dafla language,little known Kamarupan languages
Mirish language,little known Kamarupan languages
Miri language,little known Kamarupan languages
Abor language,little known Kamarupan languages
Tibetan language,Himalayish language spoken in Tibet
Newari language,Himalayish language spoken in the Kathmandu valley of Nepal
Kadai language,a family of Sino-Tibetan languages spoken in southeastern Asia
Chinese Shan,"a branch of the Tai languages, spoken in Southwest Yunnan Province, Dehong Dai and Jingpo autonomous prefectures, Baoshan, Simao, and Lincang municipal prefectures"
Xishuangbanna Dai,"a branch of the Tai languages, spoken in Southern Yunnan Province, Xishuangbanna Dai autonomous prefecture, 3 counties: Jinghong (Chiang Hung, Chien Rung), Menghai, and Mengla, also a few in Simao municipal prefecture, Jiangcheng Hani and Yi Autonomous counties"
Lao language,the Tai language of a Buddhist people living in the area of the Mekong River in Thailand and Laos
Southern Tai,"a branch of the Tai languages, spoken in Surat Thani, Chumphon, Nakhon Si Thammarat, Songkhla, Phatthalung, Ranong, Phangnga, Phuket, Krabi, Trang, Prachuap Khiri Khan, Pattani, Yala, and Satun provinces"
Central Thai,"a branch of the Tai languages, spoken in central Thailand, centered in Bangkok"
Austro-Asiatic,a family of languages spoken in southern and southeastern Asia
Austro-Asiatic language,a family of languages spoken in southern and southeastern Asia
Munda-Mon-Khmer,a family of languages spoken in southern and southeastern Asia
Hmong language,a language of uncertain affiliation spoken by the Hmong
Miao language,a language of uncertain affiliation spoken by the Hmong
Annamite language,the Mon-Khmer language spoken in Vietnam
Vietnamese language,the Mon-Khmer language spoken in Vietnam
Annamese language,the Mon-Khmer language spoken in Vietnam
Khmer language,the Mon-Khmer language spoken in Cambodia
Mon language,the Mon-Khmer language spoken by the Mon
Austronesian,the family of languages spoken in Australia and Formosa and Malaysia and Polynesia
Austronesian language,the family of languages spoken in Australia and Formosa and Malaysia and Polynesia
Malayo-Polynesian,the branch of the Austronesian languages spoken from Madagascar to the central Pacific
Eastern Malayo-Polynesian,an eastern subfamily of Malayo-Polynesian languages
Tongan language,the Polynesian language spoken by the Tongan people
Tahitian language,the Oceanic language spoken on Tahiti
Maori language,the Oceanic language spoken by the Maori in New Zealand
Hawaiian language,the Oceanic languages spoken on Hawaii
Fijian language,the Oceanic language spoken on Fiji
Western Malayo-Polynesian,a western subfamily of Malayo-Polynesian languages
Bahasa Malaysia,the Malay language spoken in Malaysia or neighbouring countries
Bahasa Melayu,the Malay language spoken in Malaysia or neighbouring countries
Bahasa Kebangsaan,the Malay language spoken in Malaysia or neighbouring countries
Malaysian language,the Malay language spoken in Malaysia or neighbouring countries
Bahasa Melayu language,the Malay language spoken in Malaysia or neighbouring countries
Bahasa Kebangsaan language,the Malay language spoken in Malaysia or neighbouring countries
Bahasa Malaysia language,the Malay language spoken in Malaysia or neighbouring countries
Bahasa Indonesia,the dialect of Malay used as the national language of the Republic of Indonesia or of Malaysia
Javanese language,the Indonesian language spoken on Java
