word,definition
transferable,legally transferable to the ownership of another
transferrable,legally transferable to the ownership of another
inalienable,incapable of being repudiated or transferred to another
unalienable,incapable of being repudiated or transferred to another
infrangible,not capable of being violated or infringed
non-negotiable,cannot be bought or sold
nontransferable,incapable of being transferred
unassignable,incapable of being transferred
untransferable,incapable of being transferred
assassinated,murdered by surprise attack for political reasons
exsanguinous,destitute of blood or apparently so
subartesian,(of water) rising naturally in a well to a height appreciably above that of the surrounding water table but not flowing out of the well
out of play,(of a ball) not available to be played during a game
alphabetical,arranged in order according to the alphabet
abecedarian,alphabetically arranged (as for beginning readers)
alphabetized,having been put in alphabetical order
alphabetised,having been put in alphabetical order
analphabetic,not alphabetic
self-absorbed,absorbed in your own interests or thoughts etc
self-involved,absorbed in your own interests or thoughts etc
double-barreled,having two purposes; twofold
double-barrelled,having two purposes; twofold
double-edged,capable of being interpreted in two usually contradictory ways
left-handed,ironically ambiguous
multivalent,"having many values, meanings, or appeals"
multi-valued,"having many values, meanings, or appeals"
polysemantic,of words; having many meanings
unambiguous,having or exhibiting a single clearly defined meaning
overambitious,excessively ambitious
unambitious,having little desire for success or achievement
ambitionless,having little desire for success or achievement
hand-to-mouth,providing only bare essentials
hardscrabble,barely satisfying a lower standard
constructive-metabolic,of or relating to anabolism
energy-storing,of or relating to anabolism
destructive-metabolic,of or relating to catabolism
energy-releasing,of or relating to catabolism
anastigmatic,not astigmatic
catadromous,migrating from fresh water to the sea to spawn
anal retentive,"a stage in psychosexual development when the child's interest is concentrated on the anal region; fixation at this stage is said to result in orderliness, meanness, stubbornness, compulsiveness, etc."
synthetical,of a proposition whose truth value is determined by observation or facts
uninflected,expressing a grammatical category by using two or more words rather than inflection
agglutinative,forming derivative or compound words by putting together constituents each of which expresses a single definite meaning
polysynthetic,forming derivative or compound words by putting together constituents each of which expresses a single definite meaning
synthetical,involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
inflectional,characterized by inflections indicating grammatical distinctions
derivational,characterized by inflections indicating a semantic relation between a word and its base
hot under the collar,very angry
smouldering,showing scarcely suppressed anger
acrimonious,marked by strong resentment or cynicism
unresentful,not resentful
nonconscious,relating to the lack of consciousness of inanimate things
unenlivened,not made lively or brightened
unidentified,being or having an unknown or unnamed source
pseudonymous,bearing or identified by an assumed (often pen) name
anticipatory,in anticipation
preexistent,existing previously or before something
pre-existent,existing previously or before something
preexisting,existing previously or before something
pre-existing,existing previously or before something
accompanying,occurring with or following as a consequence
concomitant,occurring with or following as a consequence
semiaquatic,partially aquatic; living or growing partly on land and partly in water
terrestrial,operating or living or growing on land
amphibiotic,having an aquatic early or larval form and a terrestrial adult form
semiaquatic,having an aquatic early or larval form and a terrestrial adult form
above-mentioned,mentioned or named earlier in the same text
above-named,mentioned or named earlier in the same text
introductory,serving as an introduction or preface
prefatorial,serving as an introduction or preface
preparatory,preceding and preparing for something
preparative,preceding and preparing for something
propaedeutic,preceding and preparing for something
back-to-back,one after the other
consecutive,one after the other
undermentioned,about to be mentioned or specified
precedented,having or supported or justified by a precedent
unprecedented,having no precedent; novel; never seen before
nonprehensile,not prehensile
preprandial,preceding a meal (especially dinner)
postprandial,following a meal (especially dinner)
anterograde,of amnesia; affecting time immediately following trauma
antemeridian,before noon
postmeridian,after midday
dorsoventral,extending from the back to the belly
unappealable,not subject to appeal
unappendaged,not having an appendage
mouth-watering,having a pleasant taste
unappetizing,"not appetizing in appearance, aroma, or taste"
unappetising,"not appetizing in appearance, aroma, or taste"
approachable,easy to meet or converse or do business with
unapproachable,discouraging intimacies; reserved
standoffish,lacking cordiality; unfriendly
appropriate,suitable for a particular person or place or condition etc
grade-appropriate,the quality of ability and work that is appropriate for students in a specified grade
inappropriate,not suitable for a particular occasion etc
unbefitting,not befitting
collectible,subject to or requiring payment especially as specified
collectable,subject to or requiring payment especially as specified
out-of-pocket,calling for the spending of cash
out of place,of an inappropriate or misapplied nature
a posteriori,involving reasoning from facts or particulars to general principles or from effects to causes
amphiprostylar,marked by columniation having free columns in porticoes either at both ends or at both sides of a structure
amphiprostyle,marked by columniation having free columns in porticoes either at both ends or at both sides of a structure
amphistylar,marked by columniation having free columns in porticoes either at both ends or at both sides of a structure
pseudoprostyle,marked by columniation having free columns in a portico only across the opening to the structure
pseudoperipteral,having columniation completely circling an area of the structure
nonarbitrable,not appropriate for or subject to arbitration
amphistylar,having columns either at both ends or at both sides
columniform,having the form of a column
noncolumned,not having columns
tree-living,inhabiting or frequenting trees
nonarboreal,not inhabiting or frequenting trees
argillaceous,resembling or containing clay
light-armed,armed with light equipment and weapons
militarized,issued military arms
militarised,issued military arms
defenseless,lacking weapons for self-defense
defenceless,lacking weapons for self-defense
armour-clad,covered with heavy steel
armor-plated,covered with heavy steel
armour-plated,covered with heavy steel
steel-plated,covered with heavy steel
bony-plated,covered with bony plates
bulletproof,not penetrable by bullets
lightly armored,equipped with armor heavy enough to provide protection against fire from light arms
lightly armoured,equipped with armor heavy enough to provide protection against fire from light arms
mail-cheeked,having bony plates on the sides of the head
bristlelike,resembling a bristle
thistlelike,resembling a thistle
bone-covered,(of animals) armored with bone
silver-scaled,having the body covered or partially covered with silver-colored scales
manipulative,skillful in influencing or controlling others to your own advantage
silver-tongued,"expressing yourself readily, clearly, effectively"
smooth-spoken,"expressing yourself readily, clearly, effectively"
speech-endowed,capable of speech
well-spoken,speaking or spoken fittingly or pleasingly
inarticulate,without or deprived of the use of speech or words
unarticulate,without or deprived of the use of speech or words
tongue-tied,unable to express yourself clearly or fluently
unarticulated,uttered without the use of normal words or syllables
nonspeaking,not capable of or especially not involving speech or spoken lines
articulated,consisting of segments held together by joints
unarticulated,not consisting of segments that are held together by joints
discredited,suffering shame
embarrassed,made to feel uncomfortable because of shame or wounded pride
brazen-faced,unrestrained by convention or propriety
unembarrassed,not embarrassed
self-asserting,aggressively self-assured
self-assertive,aggressively self-assured
unassertive,inclined to timidity or lack of self-confidence
nonassertive,"not aggressively self-assured, though not necessarily lacking in confidence"
reticent,reluctant to draw attention to yourself
self-effacing,reluctant to draw attention to yourself
associative,characterized by or causing or resulting from the process of bringing ideas or events together in memory or imagination
associatory,characterized by or causing or resulting from the process of bringing ideas or events together in memory or imagination
nonassociative,not associative
uncommitted,not associated in an exclusive sexual relationship
pedunculate,having or growing on or from a peduncle or stalk
free-swimming,(of animals) able to swim about; not attached
freestanding,standing apart; not attached to or supported by anything
semidetached,attached on one side only
on one's guard,vigilant
upon one's guard,vigilant
on your guard,vigilant
oversolicitous,excessively solicitous
inattentive,showing a lack of attention or care
absentminded,lost in thought; showing preoccupation
woolgathering,dreamy in mood or nature
captivating,capturing interest as if by a spell
enthralling,capturing interest as if by a spell
fascinating,capturing interest as if by a spell
charismatic,possessing an extraordinary ability to attract
mesmerizing,attracting and holding interest as if by a spell
spellbinding,attracting and holding interest as if by a spell
irresistible,overpoweringly attractive
photogenic,looking attractive in photographs
prepossessing,creating a favorable impression
unattractive,lacking beauty or charm
unprepossessing,creating an unfavorable or neutral first impression
unpresentable,creating an unfavorable or neutral first impression
attention-getting,likely to attract attention
unappealing,not able to attract favorable attention
off-putting,tending to repel
unattractive,lacking power to arouse interest
attributable,capable of being attributed
unattributable,not attributable
unascribable,not attributable
attributive,of adjectives; placed before the nouns they modify
attributive genitive,a word in the genitive case used as an attributive adjective
predicative,of adjectives; relating to or occurring within the predicate of a sentence
nonpregnant,not pregnant
inauspicious,not auspicious; boding ill
unfortunate,not auspicious; boding ill
unpromising,unlikely to bring about favorable results or enjoyment
unpropitious,not propitious
inauspicious,presaging ill fortune
authoritative,endowed with authority
commissioned,given official approval to act
unauthorized,not endowed with authority
unauthorised,not endowed with authority
self-appointed,designated or chosen by yourself
unaccredited,lacking official approval
constitutional,sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government
unconstitutional,not consistent with or according to a constitution; contrary to the U.S. Constitution
autochthonous,"of rocks, deposits, etc.; found where they and their constituents were formed"
allochthonous,"of rocks, deposits, etc.; found in a place other than where they and their constituents were formed"
heteroecious,of parasites; passing through different stages of the life cycle on different host species
autogenic,originating within the body
self-generated,originating from the self
self-produced,originating from the self
self-induced,brought about by yourself
heterogenous,originating outside the body
heterogeneous,originating outside the body
autoloading,(of firearms) capable of automatic loading and firing continuously
self-loading,(of firearms) capable of automatic loading and firing continuously
semiautomatic,(of firearms) capable of automatic loading and firing continuously
machine-controlled,operated by automation
machine-driven,operated by automation
self-acting,designed to activate or move or regulate itself
self-activating,designed to activate or move or regulate itself
self-moving,designed to activate or move or regulate itself
self-regulating,designed to activate or move or regulate itself
self-locking,locking automatically when closed
self-winding,designed so that manual winding is unnecessary
semiautomatic,partially automatic
hand-operated,operated by hand
non-automatic,operated by hand
addressable,capable of being addressed
forthcoming,available when required or as promised
purchasable,available for purchase
unavailable,not available or accessible or at hand
inaccessible,not capable of being obtained
unobtainable,not capable of being obtained
unprocurable,not capable of being obtained
untouchable,not capable of being obtained
out of stock,not available for sale or use
hibernating,in a condition of biological rest or suspended animation
fast asleep,sleeping deeply
sound asleep,sleeping deeply
sleepy-eyed,ready to fall asleep
sleepyheaded,ready to fall asleep
nonastringent,not astringent
incognizant,(often followed by ‘of’) not aware
unconscious,(followed by ‘of’) not knowing or perceiving
unsuspecting,(often followed by ‘of’) not knowing or expecting; not thinking likely
frightening,causing fear or dread or terror
threatening,threatening or foreshadowing evil or tragic developments
bloodcurdling,extremely alarming
hair-raising,extremely alarming
nightmarish,extremely alarming
creepy-crawly,causing a sensation as of things crawling on your skin
redoubtable,inspiring fear
anemophilous,of flowering plants (especially grasses etc.) that are pollinated by the wind
entomophilous,of flowering plants (especially orchids etc.) that are pollinated by insects
consolatory,affording comfort or solace
unreassuring,not reassuring; tending to cause anxiety
directional,showing the way by conducting or leading; imposing direction on
high-backed,having a high back
razor-backed,having a sharp narrow back
spiny-backed,having the back covered with spines
stiff-backed,having a stiff back
straight-backed,having a straight back
self-referent,referring back to itself
retroflexed,bent or curved backward
self-assertive,offensively self-assertive
overfamiliar,taking undue liberties
impertinent,improperly forward or bold
presumptuous,excessively forward
unbalconied,not having balconies
unbarrelled,not in a barrel
duck-billed,having a beak resembling that of a duck
short-beaked,having a short beak
short-billed,having a short beak
stout-billed,having a strong beak
straight-billed,having a straight beak
thick-billed,having a thick beak
double-bedded,having a double bed
single-bedded,having single beds
twin-bedded,having twin beds
unbeneficed,not having a benefice
superimposed,with one layer on top of another
unstratified,not deposited in layers
grass-covered,covered with grass
